data,timeStamp
14.96,10/7/2021 0:07:59
13.5,10/7/2021 0:08:03
15.23,10/7/2021 0:08:05
13.56,10/7/2021 0:08:10
13.6,10/7/2021 0:08:11
13.77,10/7/2021 0:08:15
12.9,10/7/2021 0:08:17
15.72,10/7/2021 0:08:20
13.3,10/7/2021 0:08:25
14.21,10/7/2021 0:08:27
14.3,10/7/2021 0:08:31
13.4,10/7/2021 0:08:39
13.56,10/7/2021 0:08:39
13.2,10/7/2021 0:08:44
15.84,10/7/2021 0:08:45
15.29,10/7/2021 0:08:52
13.8,10/7/2021 0:08:53
13.91,10/7/2021 0:08:58
13.5,10/7/2021 0:08:59
13.1,10/7/2021 0:09:07
15.48,10/7/2021 0:09:10
14,10/7/2021 0:09:12
13.56,10/7/2021 0:09:17
13.7,10/7/2021 0:09:20
14.46,10/7/2021 0:09:23
13.3,10/7/2021 0:09:26
15.54,10/7/2021 0:09:28
14.6,10/7/2021 0:09:34
14.94,10/7/2021 0:09:34
13.4,10/7/2021 0:09:40
14.5,10/7/2021 0:09:40
14.17,10/7/2021 0:09:45
14,10/7/2021 0:09:48
14.07,10/7/2021 0:09:51
13.5,10/7/2021 0:09:54
15.29,10/7/2021 0:09:56
13.8,10/7/2021 0:10:02
12.28,10/7/2021 0:10:03
13.3,10/7/2021 0:10:09
14.84,10/7/2021 0:10:09
15.37,10/7/2021 0:10:14
13.9,10/7/2021 0:10:16
14.5,10/7/2021 0:10:20
13.9,10/7/2021 0:10:22
14.76,10/7/2021 0:10:26
13.7,10/7/2021 0:10:30
14.23,10/7/2021 0:10:32
13.9,10/7/2021 0:10:36
15.33,10/7/2021 0:10:38
13.6,10/7/2021 0:10:44
15.63,10/7/2021 0:10:44
13.7,10/7/2021 0:10:49
14.09,10/7/2021 0:10:50
14.48,10/7/2021 0:10:57
13.8,10/7/2021 0:10:58
13.1,10/7/2021 0:11:03
15.33,10/7/2021 0:11:03
15.46,10/7/2021 0:11:10
14,10/7/2021 0:11:12
13.6,10/7/2021 0:11:17
14.52,10/7/2021 0:11:17
13.5,10/7/2021 0:11:23
13.2,10/7/2021 0:11:25
14.87,10/7/2021 0:11:30
13,10/7/2021 0:11:31
14.11,10/7/2021 0:11:37
13.9,10/7/2021 0:11:40
13.3,10/7/2021 0:11:45
13.8,10/7/2021 0:11:53
14,10/7/2021 0:11:59
14.51,10/7/2021 0:11:59
13.67,10/7/2021 0:12:04
13.6,10/7/2021 0:12:07
13.3,10/7/2021 0:12:10
13.8,10/7/2021 0:12:13
15.23,10/7/2021 0:12:16
13.9,10/7/2021 0:12:21
14.28,10/7/2021 0:12:21
13.5,10/7/2021 0:12:27
15.66,10/7/2021 0:12:27
14.43,10/7/2021 0:12:33
13.4,10/7/2021 0:12:35
14.44,10/7/2021 0:12:40
13.5,10/7/2021 0:12:41
14.34,10/7/2021 0:12:46
13.7,10/7/2021 0:12:49
15.51,10/7/2021 0:12:51
13.4,10/7/2021 0:12:54
14.78,10/7/2021 0:12:57
13.6,10/7/2021 0:13:07
14.5,10/7/2021 0:13:09
13.7,10/7/2021 0:13:13
15.14,10/7/2021 0:13:17
13.7,10/7/2021 0:13:21
13.99,10/7/2021 0:13:25
14.2,10/7/2021 0:13:27
14.87,10/7/2021 0:13:33
13.1,10/7/2021 0:13:35
13,10/7/2021 0:13:40
13.7,10/7/2021 0:13:49
13.78,10/7/2021 0:13:49
13,10/7/2021 0:13:54
15.42,10/7/2021 0:13:56
15.17,10/7/2021 0:14:02
13.7,10/7/2021 0:14:03
14.1,10/7/2021 0:14:08
14.84,10/7/2021 0:14:08
15.23,10/7/2021 0:14:13
14.2,10/7/2021 0:14:16
15.46,10/7/2021 0:14:20
14.88,10/7/2021 0:14:26
13.2,10/7/2021 0:14:30
13.87,10/7/2021 0:14:33
13.8,10/7/2021 0:14:35
13.2,10/7/2021 0:14:41
15.15,10/7/2021 0:14:44
13.6,10/7/2021 0:14:49
14.25,10/7/2021 0:14:51
13.9,10/7/2021 0:14:55
13.44,10/7/2021 0:14:58
13.6,10/7/2021 0:15:03
14.46,10/7/2021 0:15:04
13.9,10/7/2021 0:15:09
14.84,10/7/2021 0:15:15
13.6,10/7/2021 0:15:17
14.3,10/7/2021 0:15:21
13.4,10/7/2021 0:15:24
15.19,10/7/2021 0:15:30
14.59,10/7/2021 0:15:37
14.46,10/7/2021 0:15:43
15.37,10/7/2021 0:15:50
13.8,10/7/2021 0:15:56
15.04,10/7/2021 0:15:56
13.7,10/7/2021 0:16:02
14.23,10/7/2021 0:16:02
14.64,10/7/2021 0:16:09
14,10/7/2021 0:16:10
13.3,10/7/2021 0:16:16
14.53,10/7/2021 0:16:16
15.19,10/7/2021 0:16:22
13.8,10/7/2021 0:16:24
15.68,10/7/2021 0:16:29
13.5,10/7/2021 0:16:30
15.47,10/7/2021 0:16:35
13.8,10/7/2021 0:16:38
14.6,10/7/2021 0:16:42
13.5,10/7/2021 0:16:44
14.58,10/7/2021 0:16:49
13.7,10/7/2021 0:16:52
14.63,10/7/2021 0:16:55
13.9,10/7/2021 0:16:58
15.27,10/7/2021 0:17:00
13.6,10/7/2021 0:17:06
14.32,10/7/2021 0:17:07
13.8,10/7/2021 0:17:12
14.59,10/7/2021 0:17:13
14.52,10/7/2021 0:17:19
13.3,10/7/2021 0:17:20
13.6,10/7/2021 0:17:25
13.12,10/7/2021 0:17:29
13.8,10/7/2021 0:17:34
15.23,10/7/2021 0:17:35
14.2,10/7/2021 0:17:39
15.7,10/7/2021 0:17:44
13.9,10/7/2021 0:17:47
13.03,10/7/2021 0:17:52
13.6,10/7/2021 0:17:53
14.74,10/7/2021 0:17:59
13.9,10/7/2021 0:18:01
14.56,10/7/2021 0:18:05
13.9,10/7/2021 0:18:07
15.94,10/7/2021 0:18:11
12.9,10/7/2021 0:18:15
14.45,10/7/2021 0:18:18
13.5,10/7/2021 0:18:21
15.31,10/7/2021 0:18:24
13.6,10/7/2021 0:18:29
13.08,10/7/2021 0:18:31
13.2,10/7/2021 0:18:35
15.04,10/7/2021 0:18:39
13.9,10/7/2021 0:18:43
15.35,10/7/2021 0:18:48
13.8,10/7/2021 0:18:49
14.5,10/7/2021 0:18:55
13.5,10/7/2021 0:18:57
13,10/7/2021 0:19:02
14.07,10/7/2021 0:19:02
14.83,10/7/2021 0:19:08
13.8,10/7/2021 0:19:11
14.52,10/7/2021 0:19:14
13.7,10/7/2021 0:19:16
13.56,10/7/2021 0:19:21
13.2,10/7/2021 0:19:24
15.03,10/7/2021 0:19:27
14,10/7/2021 0:19:30
14.87,10/7/2021 0:19:34
13.4,10/7/2021 0:19:38
14.59,10/7/2021 0:19:40
14,10/7/2021 0:19:44
15.58,10/7/2021 0:19:47
13.9,10/7/2021 0:19:52
15.07,10/7/2021 0:19:53
13.5,10/7/2021 0:19:58
13.23,10/7/2021 0:20:00
13.3,10/7/2021 0:20:06
14.68,10/7/2021 0:20:06
13.8,10/7/2021 0:20:12
11.22,10/7/2021 0:20:18
14.62,10/7/2021 0:20:18
13.4,10/7/2021 0:20:20
13,10/7/2021 0:20:26
15.63,10/7/2021 0:20:28
13.8,10/7/2021 0:20:34
13.3,10/7/2021 0:20:40
14.76,10/7/2021 0:20:40
14.25,10/7/2021 0:20:46
13.5,10/7/2021 0:20:48
12.55,10/7/2021 0:20:52
14.6,10/7/2021 0:20:54
14.21,10/7/2021 0:20:59
13.9,10/7/2021 0:21:02
15.45,10/7/2021 0:21:05
13.4,10/7/2021 0:21:08
15.58,10/7/2021 0:21:11
13.3,10/7/2021 0:21:16
15.96,10/7/2021 0:21:17
13.7,10/7/2021 0:21:22
15.53,10/7/2021 0:21:26
13.8,10/7/2021 0:21:30
13.99,10/7/2021 0:21:32
13.5,10/7/2021 0:21:35
13.6,10/7/2021 0:21:44
13.5,10/7/2021 0:21:50
15.4,10/7/2021 0:21:55
13.9,10/7/2021 0:21:58
13.2,10/7/2021 0:22:03
13.6,10/7/2021 0:22:12
14.1,10/7/2021 0:22:17
13.3,10/7/2021 0:22:26
13.6,10/7/2021 0:22:31
13.7,10/7/2021 0:22:36
13.4,10/7/2021 0:22:40
13.5,10/7/2021 0:22:45
13.2,10/7/2021 0:22:53
13.4,10/7/2021 0:22:59
13.5,10/7/2021 0:23:07
15.62,10/7/2021 0:23:07
13.4,10/7/2021 0:23:13
13.6,10/7/2021 0:23:13
15.57,10/7/2021 0:23:14
14,10/7/2021 0:23:21
15.62,10/7/2021 0:23:21
15.19,10/7/2021 0:23:26
13.6,10/7/2021 0:23:27
13.5,10/7/2021 0:23:35
15.04,10/7/2021 0:23:35
13,10/7/2021 0:23:38
13.6,10/7/2021 0:23:41
15.56,10/7/2021 0:23:41
15.39,10/7/2021 0:23:47
13.4,10/7/2021 0:23:49
15.8,10/7/2021 0:23:49
14.8,10/7/2021 0:23:53
13.6,10/7/2021 0:23:55
14.46,10/7/2021 0:23:59
13.4,10/7/2021 0:24:01
13.2,10/7/2021 0:24:03
14.5,10/7/2021 0:24:05
13.4,10/7/2021 0:24:08
15.1,10/7/2021 0:24:14
13.9,10/7/2021 0:24:17
12.5,10/7/2021 0:24:19
15.31,10/7/2021 0:24:20
14,10/7/2021 0:24:22
13.2,10/7/2021 0:24:24
14.48,10/7/2021 0:24:26
13.5,10/7/2021 0:24:31
13.2,10/7/2021 0:24:36
15.53,10/7/2021 0:24:36
14.74,10/7/2021 0:24:43
14,10/7/2021 0:24:45
13,10/7/2021 0:24:47
15.78,10/7/2021 0:24:49
13.6,10/7/2021 0:24:50
14.27,10/7/2021 0:24:56
13.9,10/7/2021 0:24:58
13.2,10/7/2021 0:24:58
15.66,10/7/2021 0:25:03
13.8,10/7/2021 0:25:04
14.7,10/7/2021 0:25:09
13.1,10/7/2021 0:25:11
13.7,10/7/2021 0:25:12
15.27,10/7/2021 0:25:15
12.9,10/7/2021 0:25:17
13.2,10/7/2021 0:25:19
15.42,10/7/2021 0:25:21
17.3,10/7/2021 0:25:22
14.2,10/7/2021 0:25:26
14.3,10/7/2021 0:25:27
13.7,10/7/2021 0:25:32
15.27,10/7/2021 0:25:33
13,10/7/2021 0:25:33
13.7,10/7/2021 0:25:40
14.11,10/7/2021 0:25:42
13.9,10/7/2021 0:25:45
13.6,10/7/2021 0:25:45
14.78,10/7/2021 0:25:48
13.1,10/7/2021 0:25:54
14.72,10/7/2021 0:25:54
12.8,10/7/2021 0:25:56
13.7,10/7/2021 0:26:01
14.52,10/7/2021 0:26:01
13.3,10/7/2021 0:26:02
13.1,10/7/2021 0:26:04
15.23,10/7/2021 0:26:08
13.7,10/7/2021 0:26:12
15.52,10/7/2021 0:26:14
13.6,10/7/2021 0:26:17
15.23,10/7/2021 0:26:20
13.7,10/7/2021 0:26:20
13.3,10/7/2021 0:26:26
15.01,10/7/2021 0:26:26
13.2,10/7/2021 0:26:31
15.14,10/7/2021 0:26:32
13,10/7/2021 0:26:34
12.8,10/7/2021 0:26:37
14.87,10/7/2021 0:26:38
13.4,10/7/2021 0:26:39
13.4,10/7/2021 0:26:42
13.5,10/7/2021 0:26:45
15.03,10/7/2021 0:26:47
13.8,10/7/2021 0:26:53
12.5,10/7/2021 0:26:53
14.37,10/7/2021 0:26:54
14.1,10/7/2021 0:26:59
15.9,10/7/2021 0:27:00
13,10/7/2021 0:27:03
14,10/7/2021 0:27:05
13.8,10/7/2021 0:27:07
15.47,10/7/2021 0:27:07
14.4,10/7/2021 0:27:13
13,10/7/2021 0:27:13
14.97,10/7/2021 0:27:19
14.1,10/7/2021 0:27:21
13.1,10/7/2021 0:27:26
13.8,10/7/2021 0:27:27
14.54,10/7/2021 0:27:27
13.8,10/7/2021 0:27:28
14.66,10/7/2021 0:27:33
13.7,10/7/2021 0:27:34
13.5,10/7/2021 0:27:35
13.8,10/7/2021 0:27:41
14.91,10/7/2021 0:27:41
14.76,10/7/2021 0:27:48
14.3,10/7/2021 0:27:48
13.6,10/7/2021 0:27:49
13.4,10/7/2021 0:27:50
14.74,10/7/2021 0:27:54
15.1,10/7/2021 0:27:55
15.01,10/7/2021 0:28:01
13.5,10/7/2021 0:28:01
14.1,10/7/2021 0:28:03
14.48,10/7/2021 0:28:07
13.8,10/7/2021 0:28:09
14.29,10/7/2021 0:28:13
13.2,10/7/2021 0:28:14
13.6,10/7/2021 0:28:17
15.7,10/7/2021 0:28:20
15.6,10/7/2021 0:28:21
13.5,10/7/2021 0:28:23
13.1,10/7/2021 0:28:23
14.54,10/7/2021 0:28:26
13.4,10/7/2021 0:28:31
15.69,10/7/2021 0:28:32
13.1,10/7/2021 0:28:36
14.1,10/7/2021 0:28:37
15.37,10/7/2021 0:28:39
13.5,10/7/2021 0:28:44
13.6,10/7/2021 0:28:45
14.03,10/7/2021 0:28:46
12.8,10/7/2021 0:28:47
14.1,10/7/2021 0:28:51
14.98,10/7/2021 0:28:52
13.9,10/7/2021 0:28:57
15.54,10/7/2021 0:28:58
13.8,10/7/2021 0:28:59
13.9,10/7/2021 0:29:05
15.8,10/7/2021 0:29:05
13,10/7/2021 0:29:07
13.5,10/7/2021 0:29:10
15.51,10/7/2021 0:29:11
13.4,10/7/2021 0:29:13
14.99,10/7/2021 0:29:17
13.7,10/7/2021 0:29:19
15.54,10/7/2021 0:29:23
13.9,10/7/2021 0:29:24
13.7,10/7/2021 0:29:27
14.82,10/7/2021 0:29:29
13,10/7/2021 0:29:29
13.9,10/7/2021 0:29:33
12.8,10/7/2021 0:29:34
15.56,10/7/2021 0:29:35
14.1,10/7/2021 0:29:41
14.26,10/7/2021 0:29:43
13.3,10/7/2021 0:29:45
13.4,10/7/2021 0:29:46
15.18,10/7/2021 0:29:49
12.6,10/7/2021 0:29:51
13.9,10/7/2021 0:29:55
13.2,10/7/2021 0:29:55
13.4,10/7/2021 0:30:00
14.66,10/7/2021 0:30:02
14.2,10/7/2021 0:30:08
13.6,10/7/2021 0:30:09
14.56,10/7/2021 0:30:11
13.5,10/7/2021 0:30:14
13.8,10/7/2021 0:30:16
14.33,10/7/2021 0:30:17
13.1,10/7/2021 0:30:19
14.5,10/7/2021 0:30:23
14.42,10/7/2021 0:30:24
13.3,10/7/2021 0:30:28
13,10/7/2021 0:30:28
13.73,10/7/2021 0:30:30
13.2,10/7/2021 0:30:36
14.1,10/7/2021 0:30:37
14.59,10/7/2021 0:30:37
13.3,10/7/2021 0:30:41
13.5,10/7/2021 0:30:42
14.95,10/7/2021 0:30:43
13.95,10/7/2021 0:30:50
13.2,10/7/2021 0:30:51
13.4,10/7/2021 0:30:52
12.5,10/7/2021 0:30:55
14.59,10/7/2021 0:30:56
13.8,10/7/2021 0:30:57
12.8,10/7/2021 0:31:03
14.32,10/7/2021 0:31:04
13.3,10/7/2021 0:31:05
14,10/7/2021 0:31:11
13.4,10/7/2021 0:31:13
14.97,10/7/2021 0:31:16
13,10/7/2021 0:31:16
13.6,10/7/2021 0:31:19
15.45,10/7/2021 0:31:22
13.8,10/7/2021 0:31:23
14.5,10/7/2021 0:31:27
15.09,10/7/2021 0:31:28
14,10/7/2021 0:31:34
15.29,10/7/2021 0:31:35
13.2,10/7/2021 0:31:38
13,10/7/2021 0:31:40
14,10/7/2021 0:31:41
14.21,10/7/2021 0:31:42
13,10/7/2021 0:31:46
13.9,10/7/2021 0:31:48
15.35,10/7/2021 0:31:49
13.4,10/7/2021 0:31:55
15.76,10/7/2021 0:31:55
12.9,10/7/2021 0:32:00
12.9,10/7/2021 0:32:01
13.4,10/7/2021 0:32:02
14.21,10/7/2021 0:32:02
14.54,10/7/2021 0:32:08
13.6,10/7/2021 0:32:09
13.2,10/7/2021 0:32:11
14.44,10/7/2021 0:32:15
13.2,10/7/2021 0:32:16
13.5,10/7/2021 0:32:21
13.8,10/7/2021 0:32:23
15.41,10/7/2021 0:32:23
13.2,10/7/2021 0:32:24
15.03,10/7/2021 0:32:29
13.8,10/7/2021 0:32:30
14,10/7/2021 0:32:34
12.99,10/7/2021 0:32:35
13.9,10/7/2021 0:32:36
15.53,10/7/2021 0:32:41
13.3,10/7/2021 0:32:42
13.1,10/7/2021 0:32:43
14.3,10/7/2021 0:32:44
13.5,10/7/2021 0:32:50
13.3,10/7/2021 0:32:58
13.5,10/7/2021 0:32:58
13.9,10/7/2021 0:33:04
13.5,10/7/2021 0:33:04
13.3,10/7/2021 0:33:05
13.73,10/7/2021 0:33:08
13.3,10/7/2021 0:33:12
14.34,10/7/2021 0:33:15
13.6,10/7/2021 0:33:18
14.02,10/7/2021 0:33:21
12.8,10/7/2021 0:33:21
14,10/7/2021 0:33:25
13.4,10/7/2021 0:33:26
14.1,10/7/2021 0:33:27
14.95,10/7/2021 0:33:28
13.7,10/7/2021 0:33:32
14.7,10/7/2021 0:33:35
13.8,10/7/2021 0:33:40
14.21,10/7/2021 0:33:41
13.3,10/7/2021 0:33:46
13.2,10/7/2021 0:33:47
13.5,10/7/2021 0:33:47
13.9,10/7/2021 0:33:47
15.9,10/7/2021 0:33:50
13.7,10/7/2021 0:33:54
15.67,10/7/2021 0:33:56
13.7,10/7/2021 0:33:59
14.99,10/7/2021 0:34:03
13.5,10/7/2021 0:34:08
14,10/7/2021 0:34:08
13.7,10/7/2021 0:34:08
13.97,10/7/2021 0:34:09
13.3,10/7/2021 0:34:09
13.8,10/7/2021 0:34:14
15.2,10/7/2021 0:34:15
14.19,10/7/2021 0:34:21
13.2,10/7/2021 0:34:22
14.1,10/7/2021 0:34:27
12.9,10/7/2021 0:34:28
15.19,10/7/2021 0:34:29
13.8,10/7/2021 0:34:33
13.2,10/7/2021 0:34:34
15.39,10/7/2021 0:34:35
13.8,10/7/2021 0:34:36
13.5,10/7/2021 0:34:42
14.83,10/7/2021 0:34:42
14.8,10/7/2021 0:34:49
13.1,10/7/2021 0:34:49
13.3,10/7/2021 0:34:50
13.5,10/7/2021 0:34:53
13.6,10/7/2021 0:34:55
14.7,10/7/2021 0:34:55
13.1,10/7/2021 0:34:56
13.93,10/7/2021 0:35:01
13.3,10/7/2021 0:35:04
15.66,10/7/2021 0:35:07
13.5,10/7/2021 0:35:09
13.9,10/7/2021 0:35:11
13.2,10/7/2021 0:35:12
15.57,10/7/2021 0:35:17
13.6,10/7/2021 0:35:18
13.3,10/7/2021 0:35:20
13.7,10/7/2021 0:35:23
15.27,10/7/2021 0:35:23
14.42,10/7/2021 0:35:29
13.5,10/7/2021 0:35:32
13.4,10/7/2021 0:35:32
13.9,10/7/2021 0:35:34
13.6,10/7/2021 0:35:37
14.47,10/7/2021 0:35:37
13.1,10/7/2021 0:35:42
15.17,10/7/2021 0:35:44
13.6,10/7/2021 0:35:46
13.1,10/7/2021 0:35:51
13.6,10/7/2021 0:35:52
13.5,10/7/2021 0:35:55
14.1,10/7/2021 0:36:00
13.7,10/7/2021 0:36:05
13,10/7/2021 0:36:10
12.9,10/7/2021 0:36:12
13.8,10/7/2021 0:36:14
14.2,10/7/2021 0:36:20
13.4,10/7/2021 0:36:27
13.7,10/7/2021 0:36:28
13.3,10/7/2021 0:36:30
13,10/7/2021 0:36:33
14,10/7/2021 0:36:34
14.1,10/7/2021 0:36:42
13.6,10/7/2021 0:36:47
13.1,10/7/2021 0:36:49
12.9,10/7/2021 0:36:55
13.7,10/7/2021 0:36:56
13.3,10/7/2021 0:36:56
13.9,10/7/2021 0:37:01
13.7,10/7/2021 0:37:09
17.8,10/7/2021 0:37:11
14.2,10/7/2021 0:37:15
13.1,10/7/2021 0:37:17
13.6,10/7/2021 0:37:20
13.5,10/7/2021 0:37:23
13.3,10/7/2021 0:37:29
14,10/7/2021 0:37:33
13.8,10/7/2021 0:37:37
14,10/7/2021 0:37:40
13.1,10/7/2021 0:37:42
13.5,10/7/2021 0:37:43
14.4,10/7/2021 0:37:51
13.1,10/7/2021 0:37:54
13.5,10/7/2021 0:37:58
13.7,10/7/2021 0:37:58
13.9,10/7/2021 0:38:05
12.7,10/7/2021 0:38:05
13.4,10/7/2021 0:38:11
13.6,10/7/2021 0:38:17
13.9,10/7/2021 0:38:19
13.1,10/7/2021 0:38:19
13.6,10/7/2021 0:38:25
13.1,10/7/2021 0:38:30
13.8,10/7/2021 0:38:33
13.4,10/7/2021 0:38:37
13.9,10/7/2021 0:38:39
13,10/7/2021 0:38:40
13,10/7/2021 0:38:47
13.2,10/7/2021 0:38:51
14.1,10/7/2021 0:38:53
13.7,10/7/2021 0:38:58
14.7,10/7/2021 0:38:59
13.4,10/7/2021 0:39:01
13.9,10/7/2021 0:39:07
14.34,10/7/2021 0:39:14
13.4,10/7/2021 0:39:14
13.7,10/7/2021 0:39:15
13.8,10/7/2021 0:39:18
13.3,10/7/2021 0:39:21
13.3,10/7/2021 0:39:21
15.23,10/7/2021 0:39:22
13.7,10/7/2021 0:39:29
14.39,10/7/2021 0:39:29
13.8,10/7/2021 0:39:35
15.19,10/7/2021 0:39:35
13.7,10/7/2021 0:39:36
13.5,10/7/2021 0:39:39
13.97,10/7/2021 0:39:41
13.5,10/7/2021 0:39:43
12.9,10/7/2021 0:39:43
13.3,10/7/2021 0:39:49
13.1,10/7/2021 0:39:57
13,10/7/2021 0:40:01
13.8,10/7/2021 0:40:01
13.8,10/7/2021 0:40:03
13.1,10/7/2021 0:40:05
13.6,10/7/2021 0:40:11
15.35,10/7/2021 0:40:14
14,10/7/2021 0:40:17
13.6,10/7/2021 0:40:20
15.01,10/7/2021 0:40:21
14.2,10/7/2021 0:40:25
13.5,10/7/2021 0:40:26
15.05,10/7/2021 0:40:28
13,10/7/2021 0:40:29
13.7,10/7/2021 0:40:31
15.31,10/7/2021 0:40:35
13.4,10/7/2021 0:40:39
12.1,10/7/2021 0:40:39
14,10/7/2021 0:40:41
14.1,10/7/2021 0:40:45
13.6,10/7/2021 0:40:48
13.2,10/7/2021 0:40:49
15.09,10/7/2021 0:40:50
13.9,10/7/2021 0:40:53
13.4,10/7/2021 0:40:57
13.9,10/7/2021 0:40:59
13.91,10/7/2021 0:40:59
14.74,10/7/2021 0:41:06
13.5,10/7/2021 0:41:12
13.4,10/7/2021 0:41:14
13.5,10/7/2021 0:41:15
13.9,10/7/2021 0:41:16
14.2,10/7/2021 0:41:21
13.6,10/7/2021 0:41:29
12.46,10/7/2021 0:41:33
14.1,10/7/2021 0:41:33
14.1,10/7/2021 0:41:35
13.3,10/7/2021 0:41:35
13.7,10/7/2021 0:41:36
14.48,10/7/2021 0:41:39
13.9,10/7/2021 0:41:43
15.23,10/7/2021 0:41:45
13.6,10/7/2021 0:41:49
15.05,10/7/2021 0:41:50
13.7,10/7/2021 0:41:55
13.3,10/7/2021 0:41:55
13.9,10/7/2021 0:41:57
15.9,10/7/2021 0:41:57
13.1,10/7/2021 0:41:59
13.5,10/7/2021 0:42:03
14.21,10/7/2021 0:42:03
14.78,10/7/2021 0:42:09
14,10/7/2021 0:42:11
15.57,10/7/2021 0:42:15
13.6,10/7/2021 0:42:16
13.4,10/7/2021 0:42:16
13.9,10/7/2021 0:42:17
15.03,10/7/2021 0:42:22
13.6,10/7/2021 0:42:22
13.4,10/7/2021 0:42:25
14.95,10/7/2021 0:42:28
